"UniqueID","Probability1"
6533,0.598
6534,0.11
6535,0.986
6536,0.282
6537,0.194
6538,0.946
6539,0.86
6540,0
6541,0.018
6542,0.004
6543,0
6544,0.78
6545,0
6546,0
6547,0
6548,0.94
6549,0.952
6550,0.346
6551,0.182
6552,0
6553,0.006
6554,0.076
6555,0.964
6556,0
6557,0
6558,0.336
6559,0.004
6560,0.968
6561,0.586
6562,0
6563,0
6564,0
6565,0
6566,0.02
6567,0.346
6568,0.938
6569,0.98
6570,0
6571,0.03
6572,0.682
6573,0.984
6574,0.958
6575,0.006
6576,0.776
6577,0
6578,0.002
6579,0.6
6580,0
6581,0.952
6582,0.002
6583,0
6584,0.064
6585,0
6586,0.016
6587,0.292
6588,0
6589,0
6590,0.71
6591,0.912
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.034
6598,0
6599,0
6600,0.478
6601,0.1
6602,0
6603,0
6604,0.464
6605,0.086
6606,0.982
6607,0.468
6608,0.956
6609,0.604
6610,0
6611,0
6612,0.176
6613,0
6614,0.014
6615,0
6616,0.064
6617,0.024
6618,0.61
6619,0.09
6620,0
6621,0
6622,0.004
6623,0
6624,0
6625,0
6626,0
6627,0
6628,0
6629,0.012
6630,0
6631,0.018
6632,0.148
6633,0.94
6634,0.038
6635,0.382
6636,0.214
6637,0.286
6638,0.238
6639,0.22
6640,0.156
6641,0.252
6642,0.156
6643,0.234
6644,0.254
6645,0.006
6646,0.196
6647,0.006
6648,0.008
6649,0.294
6650,0.984
6651,0
6652,0.01
6653,0
6654,0.002
6655,0.102
6656,0.132
6657,0.002
6658,0.018
6659,0.006
6660,0.426
6661,0
6662,0
6663,0.472
6664,0.188
6665,0.01
6666,0
6667,0.006
6668,0.056
6669,0.464
6670,0.862
6671,0.846
6672,0
6673,0.082
6674,0.628
6675,0.002
6676,0
6677,0
6678,0.002
6679,0.002
6680,0.946
6681,0.002
6682,0
6683,0.01
6684,0.28
6685,0
6686,0.002
6687,0.476
6688,0.964
6689,0
6690,0
6691,0.164
6692,0.642
6693,0
6694,0.99
6695,0.61
6696,0
6697,0.806
6698,0.004
6699,0.232
6700,0
6701,0.538
6702,0
6703,0.008
6704,0.04
6705,0.072
6706,0
6707,0.026
6708,0.038
6709,0.002
6710,0.008
6711,0.018
6712,0.01
6713,0
6714,0
6715,0.004
6716,0
6717,0
6718,0.22
6719,0.014
6720,0.776
6721,0
6722,0.024
6723,0.964
6724,0.15
6725,0.67
6726,0.012
6727,0.016
6728,0.916
6729,0
6730,0
6731,0.266
6732,0
6733,0
6734,0.002
6735,0.016
6736,0
6737,0
6738,0.048
6739,0.646
6740,0
6741,0.078
6742,0
6743,0
6744,0.002
6745,0.182
6746,0
6747,0
6748,0.09
6749,0.012
6750,0.908
6751,0
6752,0.038
6753,0.502
6754,0.01
6755,0
6756,0.002
6757,0.398
6758,0.4
6759,0
6760,0.052
6761,0.006
6762,0.002
6763,0
6764,0.876
6765,0.008
6766,0
6767,0
6768,0.004
6769,0.626
6770,0.148
6771,0
6772,0.032
6773,0
6774,0
6775,0.674
6776,0
6777,0
6778,0.002
6779,0.056
6780,0.994
6781,0.196
6782,0.054
6783,0.164
6784,0
6785,0.002
6786,0.452
6787,0.92
6788,0.076
6789,0.008
6790,0.004
6791,0
6792,0.004
6793,0.642
6794,0
6795,0.008
6796,0.016
6797,0.01
6798,0
6799,0.016
6800,0.002
6801,0.012
6802,0
6803,0
6804,0
6805,0
6806,0
6807,0.946
6808,0.988
6809,0.004
6810,0.988
6811,0.006
6812,0.08
6813,0
6814,0.034
6815,0.036
6816,0.346
6817,0.106
6818,0.002
6819,0.96
6820,0.008
6821,0
6822,0
6823,0.114
6824,0.592
6825,0.964
6826,0
6827,0
6828,0
6829,0.216
6830,0.002
6831,0.004
6832,0
6833,0
6834,0
6835,0.964
6836,0.006
6837,0.048
6838,0.02
6839,0
6840,0
6841,0
6842,0.002
6843,0
6844,0.908
6845,0.988
6846,0
6847,0.362
6848,0
6849,0.004
6850,0.012
6851,0
6852,0.86
6853,0
6854,0.002
6855,0.002
6856,0.002
6857,0.052
6858,0.002
6859,0.828
6860,0.92
6861,0
6862,0.002
6863,0.624
6864,0.228
6865,0.016
6866,0.912
6867,0.2
6868,0.026
6869,0.404
6870,0
6871,0.456
6872,0.02
6873,0.602
6874,0.3
6875,0
6876,0.022
6877,0.338
6878,0.384
6879,0.004
6880,0
6881,0.418
6882,0
6883,0
6884,0
6885,0.91
6886,0
6887,0
6888,0.004
6889,0
6890,0.004
6891,0.042
6892,0
6893,0.032
6894,0
6895,0.002
6896,0.008
6897,0
6898,0
6899,0
6900,0
6901,0
6902,0.01
6903,0.206
6904,0.98
6905,0.008
6906,0
6907,0.092
6908,0.004
6909,0.034
6910,0
6911,0.004
6912,0
6913,0.162
6914,0
6915,0
6916,0
6917,0
6918,0.238
6919,0.038
6920,0.168
6921,0.766
6922,0.18
6923,0
6924,0.01
6925,0.792
6926,0
6927,0.748
6928,0
6929,0
6930,0.398
6931,0
6932,0.002
6933,0.016
6934,0.938
6935,0.386
6936,0
6937,0
6938,0.14
6939,0
6940,0.964
6941,0.656
6942,0
6943,0.772
6944,0.004
6945,0
6946,0
6947,0.012
6948,0
6949,0.016
6950,0.202
6951,0.006
6952,0.002
6953,0.43
6954,0.012
6955,0.628
6956,0.924
6957,0.014
6958,0
6959,0
6960,0.23
6961,0.414
6962,0
