"UniqueID","Probability1"
6533,0.71
6534,0.19
6535,0.162
6536,0.576
6537,0.182
6538,0.758
6539,0.802
6540,0.778
6541,0.82
6542,0
6543,0.214
6544,0.064
6545,0
6546,0.986
6547,0.584
6548,0.912
6549,0.25
6550,0.332
6551,0.032
6552,0.886
6553,0.034
6554,0.024
6555,0.016
6556,0.394
6557,0.02
6558,0.066
6559,0
6560,0.08
6561,0.006
6562,0
6563,0.014
6564,0.022
6565,0.228
6566,0.002
6567,0.844
6568,0.692
6569,0
6570,0.012
6571,0.174
6572,0.02
6573,0.006
6574,0.102
6575,0.014
6576,0.134
6577,0.008
6578,0.002
6579,0.026
6580,0.002
6581,0.016
6582,0.986
6583,0.002
6584,0.722
6585,0.014
6586,0.018
6587,0.054
6588,0.226
6589,0.696
6590,0.04
6591,0.886
6592,0.014
6593,0.858
6594,0
6595,0
6596,0.452
6597,0.766
6598,0.03
6599,0.01
6600,0
6601,0.052
6602,0.012
6603,0
6604,0.02
6605,0.032
6606,0.002
6607,0.834
6608,0.026
6609,0.01
6610,0.004
6611,0.904
6612,0.21
6613,0.002
6614,0.018
6615,0.006
6616,0.12
6617,0.894
6618,0.162
6619,0.672
6620,0.032
6621,0.044
6622,0.232
6623,0.006
6624,0.228
6625,0.17
6626,0.048
6627,0.038
6628,0.018
6629,0.034
6630,0.67
6631,0.116
6632,0.346
6633,0.036
6634,0.062
6635,0.15
6636,0.358
6637,0.236
6638,0.034
6639,0.056
6640,0.196
6641,0.1
6642,0.14
6643,0.142
6644,0.042
6645,0.252
6646,0.022
6647,0.138
6648,0.436
6649,0.838
6650,0
6651,0.004
6652,0.976
6653,0.048
6654,0.01
6655,0.712
6656,0.248
6657,0.034
6658,0.028
6659,0.004
6660,0.072
6661,0.008
6662,0.216
6663,0.596
6664,0.016
6665,0.036
6666,0
6667,0.006
6668,0.016
6669,0
6670,0.02
6671,0.974
6672,0.04
6673,0.438
6674,0.004
6675,0
6676,0.766
6677,0.052
6678,0.008
6679,0.034
6680,0.074
6681,0.03
6682,0.038
6683,0.036
6684,0.052
6685,0.016
6686,0.016
6687,0.244
6688,0.692
6689,0.588
6690,0.008
6691,0.178
6692,0.246
6693,0.014
6694,0.018
6695,0.24
6696,0.04
6697,0.04
6698,0.024
6699,0.096
6700,0.108
6701,0.006
6702,0.006
6703,0
6704,0.254
6705,0.04
6706,0.028
6707,0.812
6708,0.114
6709,0.978
6710,0.832
6711,0.218
6712,0.026
6713,0.056
6714,0.082
6715,0.054
6716,0
6717,0
6718,0.26
6719,0.054
6720,0.026
6721,0.022
6722,0.048
6723,0.368
6724,0.178
6725,0.062
6726,0.158
6727,0.084
6728,0.048
6729,0.046
6730,0.032
6731,0.128
6732,0.578
6733,0.05
6734,0.798
6735,0.972
6736,0.02
6737,0.018
6738,0.01
6739,0.166
6740,0.008
6741,0.12
6742,0.012
6743,0.004
6744,0.002
6745,0.014
6746,0.196
6747,0.002
6748,0.002
6749,0.06
6750,0.248
6751,0
6752,0.074
6753,0.472
6754,0.002
6755,0.026
6756,0.006
6757,0
6758,0.036
6759,0.046
6760,0
6761,0.006
6762,0.07
6763,0.67
6764,0.07
6765,0.07
6766,0.032
6767,0.004
6768,0.812
6769,0.012
6770,0.902
6771,0.006
6772,0.914
6773,0.006
6774,0.022
6775,0.894
6776,0.002
6777,0.032
6778,0.034
6779,0.016
6780,0.006
6781,0.158
6782,0.004
6783,0.006
6784,0.384
6785,0.804
6786,0.59
6787,0.006
6788,0.054
6789,0.006
6790,0.08
6791,0
6792,0.004
6793,0.016
6794,0.002
6795,0.162
6796,0.014
6797,0.336
6798,0.022
6799,0.22
6800,0.416
6801,0.146
6802,0.004
6803,0.054
6804,0.022
6805,0.066
6806,0.014
6807,0.826
6808,0.868
6809,0.008
6810,0.124
6811,0.008
6812,0.36
6813,0.016
6814,0.066
6815,0.02
6816,0.314
6817,0.2
6818,0.012
6819,0.036
6820,0.02
6821,0.04
6822,0.014
6823,0.298
6824,0.062
6825,0.01
6826,0.004
6827,0.066
6828,0.03
6829,0.03
6830,0.034
6831,0.138
6832,0.512
6833,0.022
6834,0.088
6835,0.074
6836,0.682
6837,0.922
6838,0.04
6839,0.026
6840,0
6841,0.156
6842,0.004
6843,0.034
6844,0.028
6845,0.114
6846,0
6847,0
6848,0.844
6849,0.158
6850,0.082
6851,0
6852,0.06
6853,0.01
6854,0.016
6855,0.014
6856,0.09
6857,0.024
6858,0
6859,0.442
6860,0.022
6861,0.028
6862,0.22
6863,0.678
6864,0.008
6865,0.014
6866,0.03
6867,0.952
6868,0.02
6869,0.596
6870,0.926
6871,0
6872,0.662
6873,0.054
6874,0.1
6875,0.968
6876,0.11
6877,0.518
6878,0.01
6879,0
6880,0.004
6881,0.066
6882,0.026
6883,0.004
6884,0.02
6885,0.086
6886,0.048
6887,0
6888,0.014
6889,0.068
6890,0.114
6891,0.312
6892,0.134
6893,0.96
6894,0
6895,0.034
6896,0.03
6897,0.008
6898,0.05
6899,0.006
6900,0.952
6901,0.056
6902,0.016
6903,0.844
6904,0.176
6905,0.038
6906,0.062
6907,0.034
6908,0.012
6909,0.172
6910,0.028
6911,0.012
6912,0.022
6913,0.226
6914,0.078
6915,0.03
6916,0.016
6917,0.02
6918,0.21
6919,0.036
6920,0.09
6921,0.204
6922,0.144
6923,0.082
6924,0.12
6925,0.866
6926,0.004
6927,0.012
6928,0
6929,0.008
6930,0
6931,0
6932,0.036
6933,0.016
6934,0.626
6935,0
6936,0.938
6937,0.054
6938,0.274
6939,0.002
6940,0.98
6941,0.016
6942,0
6943,0.026
6944,0.45
6945,0.002
6946,0.008
6947,0.004
6948,0.134
6949,0.028
6950,0.052
6951,0.002
6952,0.028
6953,0.004
6954,0.044
6955,0.13
6956,0.286
6957,0.496
6958,0.208
6959,0.314
6960,0.002
6961,0.012
6962,0.388
6963,0.062
6964,0.056
6965,0.004
6966,0.24
6967,0
6968,0.166
6969,0.004
6970,0.062
6971,0.028
6972,0.006
6973,0
6974,0
6975,0.04
6976,0.33
6977,0.222
6978,0.208
6979,0.012
6980,0.028
6981,0.008
6982,0.172
6983,0.016
6984,0.374
6985,0.212
6986,0.114
6987,0.002
6988,0.056
6989,0.256
6990,0.172
6991,0.08
6992,0.026
6993,0.218
