"UniqueID","Probability1"
6533,0.0625
6534,0.1875
6535,0.8075
6536,0.48625
6537,0.225
6538,0.78875
6539,0.9025
6540,0.02625
6541,0.1075
6542,0.005
6543,0.0125
6544,0.64875
6545,0.00125
6546,0.0025
6547,0.13125
6548,0.9325
6549,0.52375
6550,0.335
6551,0.1825
6552,0.0025
6553,0.05125
6554,0.0425
6555,0.9525
6556,0.0025
6557,0.0275
6558,0.565
6559,0.005
6560,0.295
6561,0.3425
6562,0.00125
6563,0.0025
6564,0.0075
6565,0.01875
6566,0.055
6567,0.32375
6568,0.8375
6569,0.96375
6570,0.03125
6571,0.05375
6572,0.3675
6573,0.74875
6574,0.9825
6575,0.00625
6576,0.61875
6577,0.00625
6578,0
6579,0.06
6580,0
6581,0.51125
6582,0.0125
6583,0.00625
6584,0.20625
6585,0.0625
6586,0.055
6587,0.33625
6588,0.01125
6589,0.04125
6590,0.17625
6591,0.92875
6592,0.00875
6593,0
6594,0.00125
6595,0
6596,0.0125
6597,0.00875
6598,0.045
6599,0.025
6600,0.1575
6601,0.17625
6602,0.0275
6603,0.015
6604,0.0175
6605,0.20125
6606,0.975
6607,0.0475
6608,0.7375
6609,0.6075
6610,0.015
6611,0.0075
6612,0.22375
6613,0.0075
6614,0.01125
6615,0.02
6616,0.06875
6617,0.14
6618,0.0725
6619,0.03875
6620,0.01375
6621,0.0025
6622,0.0875
6623,0.02
6624,0.03625
6625,0.0525
6626,0.00125
6627,0
6628,0.01
6629,0.0125
6630,0.03625
6631,0.02625
6632,0.38625
6633,0.7325
6634,0.0775
6635,0.41625
6636,0.28625
6637,0.35
6638,0.335
6639,0.27875
6640,0.35125
6641,0.365
6642,0.18375
6643,0.31
6644,0.3325
6645,0.08
6646,0.2775
6647,0.10375
6648,0.06375
6649,0.295
6650,0.96875
6651,0.0075
6652,0.01375
6653,0.08625
6654,0.025
6655,0.19125
6656,0.045
6657,0.02625
6658,0.08625
6659,0.02875
6660,0.37625
6661,0.00375
6662,0.08125
6663,0.01375
6664,0.36125
6665,0.0925
6666,0
6667,0.01375
6668,0.005
6669,0.0075
6670,0.905
6671,0.93625
6672,0.005
6673,0.03625
6674,0.04375
6675,0.01125
6676,0.00625
6677,0
6678,0.01
6679,0
6680,0.50125
6681,0.0075
6682,0.00625
6683,0.065
6684,0.2925
6685,0.005
6686,0.01375
6687,0.04
6688,0.66875
6689,0.0175
6690,0.005
6691,0.245
6692,0.255
6693,0.04625
6694,0.7275
6695,0.20375
6696,0.07375
6697,0.68125
6698,0.01625
6699,0.11
6700,0.025
6701,0.47625
