"UniqueID","Probability1"
6533,0.832
6534,0.12
6535,0.996
6536,0.286
6537,0.178
6538,0.948
6539,0.86
6540,0
6541,0.02
6542,0.004
6543,0
6544,0.76
6545,0
6546,0.002
6547,0.002
6548,0.948
6549,0.968
6550,0.42
6551,0.168
6552,0.002
6553,0.012
6554,0.064
6555,0.962
6556,0
6557,0
6558,0.352
6559,0
6560,0.968
6561,0.54
6562,0
6563,0
6564,0
6565,0
6566,0.018
6567,0.404
6568,0.944
6569,0.97
6570,0
6571,0.02
6572,0.692
6573,0.984
6574,0.96
6575,0.016
6576,0.796
6577,0
6578,0
6579,0.868
6580,0
6581,0.926
6582,0.002
6583,0
6584,0.084
6585,0.004
6586,0.012
6587,0.364
6588,0.002
6589,0
6590,0.936
6591,0.926
6592,0
6593,0
6594,0.002
6595,0
6596,0
6597,0.052
6598,0
6599,0
6600,0.53
6601,0.12
6602,0
6603,0
6604,0.73
6605,0.102
6606,0.992
6607,0.714
6608,0.986
6609,0.626
6610,0
6611,0.002
6612,0.19
6613,0
6614,0
6615,0
6616,0.078
6617,0.024
6618,0.81
6619,0.114
6620,0
6621,0.006
6622,0.002
6623,0
6624,0
6625,0
6626,0
6627,0
6628,0
6629,0.014
6630,0
6631,0.02
6632,0.12
6633,0.942
6634,0.01
6635,0.426
6636,0.23
6637,0.234
6638,0.214
6639,0.226
6640,0.136
6641,0.26
6642,0.14
6643,0.21
6644,0.228
6645,0.004
6646,0.174
6647,0
6648,0.008
6649,0.286
6650,0.978
6651,0
6652,0.006
6653,0.002
6654,0.002
6655,0.124
6656,0.12
6657,0.002
6658,0.012
6659,0.002
6660,0.508
6661,0
6662,0
6663,0.724
6664,0.24
6665,0.002
6666,0
6667,0.002
6668,0.048
6669,0.74
6670,0.836
6671,0.828
6672,0
6673,0.064
6674,0.84
6675,0.002
6676,0
6677,0
6678,0.002
6679,0
6680,0.958
6681,0
6682,0
6683,0.02
6684,0.256
6685,0
6686,0
6687,0.736
6688,0.952
6689,0
6690,0
6691,0.21
6692,0.896
6693,0
6694,0.99
6695,0.85
6696,0
6697,0.798
6698,0.002
6699,0.244
6700,0
6701,0.614
6702,0
6703,0
6704,0.062
6705,0.082
6706,0
6707,0.016
6708,0.036
6709,0
6710,0.002
6711,0.03
6712,0.002
6713,0
6714,0.002
6715,0
6716,0
6717,0
6718,0.248
6719,0.014
6720,0.782
6721,0
6722,0.012
6723,0.976
6724,0.136
6725,0.806
6726,0.014
6727,0.03
6728,0.914
6729,0
6730,0
6731,0.238
6732,0
6733,0.002
6734,0
6735,0.014
6736,0
6737,0
6738,0.04
6739,0.894
6740,0
6741,0.112
6742,0
6743,0.002
6744,0.006
6745,0.18
6746,0
6747,0
6748,0.08
6749,0.022
6750,0.914
6751,0
6752,0.072
6753,0.52
6754,0.022
6755,0
6756,0.002
6757,0.48
6758,0.458
6759,0
6760,0.062
6761,0.004
6762,0
6763,0
6764,0.886
6765,0.006
6766,0.008
6767,0
6768,0.006
6769,0.87
6770,0.142
6771,0
6772,0.052
6773,0
6774,0.002
6775,0.704
6776,0.004
6777,0
6778,0.002
6779,0.04
6780,0.994
6781,0.224
6782,0.054
6783,0.15
6784,0
6785,0
6786,0.734
6787,0.916
6788,0.06
6789,0.014
6790,0
6791,0
6792,0
6793,0.89
6794,0
6795,0.01
6796,0.004
6797,0.002
6798,0.008
6799,0.022
6800,0
6801,0.008
6802,0
6803,0
6804,0
6805,0.004
6806,0
6807,0.894
6808,1
6809,0.004
6810,0.996
6811,0.004
6812,0.124
6813,0
6814,0.032
6815,0.032
6816,0.362
6817,0.086
6818,0
6819,0.932
6820,0.012
6821,0
6822,0.004
6823,0.128
6824,0.624
6825,0.954
6826,0
6827,0
6828,0
6829,0.266
6830,0.004
6831,0
6832,0.008
6833,0.002
6834,0
6835,0.966
6836,0.006
6837,0.042
6838,0.014
6839,0
6840,0
6841,0
6842,0.002
6843,0
6844,0.878
6845,0.988
6846,0
6847,0.406
6848,0
6849,0.002
6850,0.01
6851,0
6852,0.87
6853,0
6854,0.002
6855,0.008
6856,0.004
6857,0.054
6858,0
6859,0.87
6860,0.952
6861,0.006
6862,0.008
6863,0.856
6864,0.29
6865,0.014
6866,0.902
6867,0.158
6868,0.01
6869,0.418
6870,0
6871,0.712
6872,0.032
6873,0.886
6874,0.352
6875,0
6876,0.03
6877,0.33
6878,0.336
6879,0.004
6880,0
6881,0.642
6882,0.002
6883,0
6884,0
6885,0.898
6886,0
6887,0
6888,0.002
6889,0
6890,0.004
6891,0.034
6892,0
6893,0.018
6894,0
6895,0
6896,0.01
6897,0
6898,0
6899,0
6900,0
6901,0
6902,0.006
6903,0.19
6904,0.992
6905,0.004
6906,0
6907,0.1
6908,0
6909,0.026
6910,0
6911,0.006
6912,0
6913,0.204
6914,0
6915,0
6916,0
6917,0
6918,0.196
6919,0.046
6920,0.136
6921,0.744
6922,0.14
6923,0
6924,0.012
6925,0.834
6926,0
6927,0.772
6928,0
6929,0
6930,0.62
6931,0
6932,0
6933,0.012
6934,0.936
6935,0.426
6936,0
6937,0
6938,0.142
6939,0
6940,0.958
6941,0.914
6942,0
6943,0.79
6944,0.002
6945,0
6946,0.006
6947,0.016
6948,0
6949,0.014
6950,0.198
6951,0.006
6952,0.004
6953,0.448
6954,0.004
6955,0.898
6956,0.946
6957,0.004
6958,0
6959,0.002
6960,0.202
6961,0.642
6962,0
6963,0.142
6964,0
6965,0.014
6966,0.162
6967,0.864
6968,0.008
6969,0.004
6970,0
6971,0.004
6972,0.284
6973,0.72
6974,0
6975,0.006
6976,0.054
6977,0
6978,0
6979,0.052
6980,0
6981,0
6982,0.062
6983,0
6984,0
6985,0.018
6986,0.002
6987,0
6988,0
6989,0
6990,0.786
6991,0
6992,0
6993,0
6994,0.006
6995,0.004
6996,0.006
6997,0
6998,0.002
6999,0
7000,0.208
7001,0.01
7002,0.982
7003,0.984
7004,0.052
7005,0.8
7006,0
7007,0
7008,0.002
7009,0.906
7010,0
7011,0.014
7012,0.882
7013,0.008
7014,0.54
7015,0.008
7016,0.926
7017,0.324
7018,0.122
7019,0.132
7020,0.01
7021,0.79
7022,0.986
7023,0.938
7024,0.996
7025,0.008
7026,0.824
7027,0.752
7028,0.004
7029,0
7030,0.546
7031,0
7032,0.108
7033,0.004
7034,0.166
7035,0.28
7036,0.082
7037,1
7038,0.106
7039,0.066
7040,0.102
7041,0
7042,0
7043,0.02
7044,0.468
7045,0.05
7046,0
7047,0.982
7048,0.948
7049,0.016
7050,0
7051,0.038
7052,0.836
7053,0.018
7054,0.004
7055,0.006
7056,0.412
7057,0.01
7058,0.084
7059,0.012
7060,0
7061,0.984
7062,0
7063,0
7064,0.152
7065,0.03
7066,0.428
7067,0.014
7068,0
7069,0
7070,0.888
7071,0.074
7072,0.974
7073,0.418
7074,0.004
7075,0.004
7076,0.004
7077,0
7078,0.084
7079,0.458
7080,0
7081,0.178
7082,0.82
7083,0
7084,0.696
7085,0
7086,0.754
7087,0.926
7088,0.004
7089,0.898
7090,0
7091,0
7092,0.066
7093,0.01
7094,0.002
7095,0.87
7096,0
7097,0.99
7098,0.826
7099,0
7100,0
7101,0
7102,0
7103,0.226
7104,0.118
7105,0.006
7106,0.01
7107,0
7108,0.006
7109,0
7110,0.004
7111,0.002
7112,0
7113,0.002
7114,0
7115,0
7116,0.11
7117,0.004
7118,0.12
7119,0
7120,0.996
7121,0.156
7122,0.034
7123,0.05
7124,0.188
7125,0
7126,0.068
7127,0.06
7128,0
7129,0
7130,0
7131,0.95
7132,0.272
7133,0.006
7134,0.008
7135,0.02
7136,0.14
7137,0
7138,0.484
7139,0.706
7140,0.02
7141,0.98
7142,0
7143,0.008
7144,0
7145,0.958
7146,0
7147,0
7148,0.984
7149,0
7150,0.812
7151,0.318
7152,0.03
7153,0.098
7154,0
7155,0.864
7156,0
7157,0
7158,0.072
7159,0
7160,0
7161,0
7162,0.94
7163,0.004
7164,0
7165,0
7166,0.01
7167,0
7168,0
7169,0
7170,0
7171,0
7172,0
7173,0
7174,0.002
7175,0.162
7176,0.386
7177,0.044
7178,0.896
7179,0.81
7180,0.882
7181,0.382
7182,0.004
7183,0
7184,0
7185,0.942
7186,0.282
7187,0.006
7188,0.686
7189,0
7190,0
7191,0.086
7192,0.002
7193,0
7194,0.01
7195,0
7196,0.036
7197,0.004
7198,0
7199,0
7200,0
7201,0.002
7202,0.116
7203,0.11
7204,0
7205,0
7206,0.19
7207,0.068
7208,0.898
7209,0.02
7210,0.346
7211,0.016
7212,0.004
7213,0.024
7214,0.014
7215,0
7216,0.124
7217,0.208
7218,0.928
7219,0
7220,0.144
7221,0.004
7222,0.058
7223,0.008
7224,0.024
7225,0.476
7226,0
7227,0.038
7228,0.062
7229,0.86
7230,0.12
7231,0
7232,0.164
7233,0.926
7234,0.594
7235,0
7236,0
7237,0
7238,0.948
7239,0
7240,0
7241,0
7242,0.954
7243,0
7244,0
7245,0.036
7246,0
7247,0.002
7248,0.962
7249,0.004
7250,0.148
7251,0.854
7252,0.026
7253,0
7254,0.35
7255,0.308
7256,0.376
7257,0
7258,0.92
7259,0.022
7260,0.002
7261,0.004
7262,0.248
7263,0.07
7264,0.192
7265,0.144
7266,0.182
7267,0
7268,0.262
7269,0
7270,0.034
7271,0.05
7272,0.016
7273,0.918
7274,0.346
7275,0.006
7276,0
7277,0.062
7278,0
7279,0.858
7280,0
7281,0.002
7282,0.09
7283,0
7284,0
7285,0.022
7286,0.076
7287,0
7288,0.658
7289,0
7290,0.952
7291,0.23
7292,0
7293,0.044
7294,0.04
7295,0.002
7296,0
7297,0
7298,0.034
7299,0.04
7300,0
7301,0
7302,0.002
7303,0
7304,0.002
7305,0
7306,0
7307,0.966
7308,0.78
7309,0.01
7310,0.01
7311,0.186
7312,0.498
7313,0.092
7314,0.986
7315,0
7316,0.626
7317,0.098
7318,0.346
7319,0.002
7320,0.002
7321,0.314
7322,0.32
7323,0.35
7324,0.346
7325,0
7326,0.348
7327,0
7328,0
7329,0
7330,0.19
7331,0.002
7332,0.35
7333,0.4
7334,0.376
7335,0.348
7336,0
7337,0.256
7338,0.34
7339,0.338
7340,0
7341,0
7342,0.158
7343,0.006
7344,0.978
7345,0
7346,0.002
7347,0.83
7348,0
7349,0.946
7350,0
7351,0.048
7352,0
7353,0
7354,0.042
7355,0.984
7356,0.032
7357,0.634
7358,0.792
7359,0.012
7360,0
7361,0
7362,0.002
7363,0.006
7364,0
7365,0.002
7366,0.038
7367,0.032
7368,0
7369,0
7370,0
7371,0
7372,0
7373,0.69
7374,0.806
7375,0.744
7376,0.052
7377,0.05
7378,0.046
7379,0.052
7380,0.004
7381,0.81
7382,0.512
7383,0
7384,0.828
7385,0
7386,0
7387,0.068
7388,0.002
7389,0.006
7390,0.866
7391,0
7392,0.032
7393,0.792
7394,0.006
7395,0
7396,0.012
7397,0.034
7398,0.088
7399,0
7400,0.006
7401,0.022
7402,0.004
7403,0.002
7404,0.01
7405,0.198
7406,0
7407,0
7408,0.004
7409,0
7410,0.006
7411,0.992
7412,0.138
7413,0.026
7414,0.002
7415,0.758
7416,0.02
7417,0.012
7418,0
7419,0.392
7420,0
7421,0
7422,0
7423,0
7424,0.004
7425,0
7426,0
7427,0.02
7428,0
7429,0.114
7430,0.846
7431,0
7432,0
7433,0.44
7434,0.008
7435,0
7436,0.398
7437,0.774
7438,0.026
7439,0.208
7440,0.346
7441,0.36
7442,0.008
7443,0.222
7444,0.338
7445,0.302
7446,0.326
7447,0.2
7448,0.014
7449,0.008
7450,0.332
7451,0
7452,0
7453,0.366
7454,0.398
7455,0.038
7456,0.328
7457,0.324
7458,0
7459,0.198
7460,0
7461,0.32
7462,0
7463,0.406
7464,0
7465,0
7466,0.31
7467,0
7468,0.328
7469,0
7470,0.996
7471,0.382
7472,0.082
7473,0.462
7474,0.982
7475,0.644
7476,0.16
7477,0
7478,0.312
7479,0
7480,0.248
7481,0.006
7482,0.312
7483,0.002
7484,0
7485,0.358
7486,0.022
7487,0.384
7488,0.358
7489,0
7490,0.02
7491,0
7492,0
7493,0
7494,0.004
7495,0.78
7496,0.76
7497,0
7498,0.566
7499,0.262
7500,0.246
7501,0
7502,0.958
7503,0.956
7504,0
7505,0.35
7506,0.242
7507,0.906
7508,0.014
7509,0.478
7510,0.008
7511,0.66
7512,0.016
7513,0.932
7514,0.114
7515,0.008
7516,0.032
7517,0.122
7518,0.086
7519,0.954
7520,0.636
7521,0.188
7522,0.002
7523,0.086
7524,0.166
7525,0.136
7526,0.064
7527,1
7528,0.05
7529,0.044
7530,0.06
7531,0.164
7532,0.238
7533,0.954
7534,0.924
7535,0.552
7536,0.934
7537,0.002
7538,0.984
7539,0.21
7540,0.004
7541,0.514
7542,0.842
7543,0
7544,0.906
7545,0
7546,0
7547,0
7548,0
7549,0.024
7550,0
7551,0.02
7552,0
7553,0
7554,0
7555,0.986
7556,0
7557,0.326
7558,0.978
7559,0.392
7560,0
7561,0.416
7562,0.318
7563,0.016
7564,0.008
7565,0
7566,0.004
7567,0
7568,0.04
7569,0.726
7570,0
7571,0
7572,0.286
7573,0.93
7574,0.048
7575,0
7576,0
7577,0.004
7578,0.802
7579,0
7580,0
7581,0.9
7582,0
7583,0.014
7584,0.96
7585,0.978
7586,0.516
7587,0.726
7588,0
7589,0
7590,0
7591,0
7592,0
7593,0
7594,0.006
7595,0
7596,0.086
7597,0.118
7598,0.002
7599,0
7600,0.382
7601,0.002
7602,0.002
7603,0
7604,0
7605,0.006
7606,0
7607,0
7608,0
7609,0.002
7610,0
7611,0.108
7612,0.012
7613,0
7614,1
7615,0.24
7616,0.054
7617,0.068
7618,0.034
7619,0.962
7620,0.19
7621,0.814
7622,0.006
7623,0.002
7624,0
7625,0.03
7626,0
7627,0.612
7628,0.184
7629,0.08
7630,0
7631,0.028
7632,0
7633,0.026
7634,0.214
7635,0.966
7636,0.852
7637,0.42
7638,0
7639,0.712
7640,0.698
7641,0
7642,0
7643,0
7644,0
7645,0
7646,0.84
7647,0
7648,0
7649,0.782
7650,0.018
7651,0.812
7652,0.224
7653,0
7654,0
7655,0
7656,0
7657,0
7658,0.07
7659,0
7660,0
7661,0
7662,0.042
7663,0.026
7664,0.01
7665,0
7666,0
7667,0.006
7668,0.002
7669,0
7670,0.892
7671,0.19
7672,0.232
7673,0.864
7674,0.178
7675,0.842
7676,0.382
7677,0.08
7678,0
7679,0
7680,0.012
7681,0
7682,0.028
7683,0
7684,0.602
7685,0
7686,0
7687,0.002
7688,0.064
7689,0.006
7690,0
7691,0.008
7692,0.004
7693,0
7694,0.034
7695,0
7696,0
7697,0
7698,0.06
7699,0.034
7700,0.17
7701,0.008
7702,0.024
7703,0
7704,0.02
7705,1
7706,0.002
7707,0.938
7708,0.096
7709,0.002
7710,0
7711,0.066
7712,0
7713,0
7714,0.332
7715,0
7716,0
7717,0.924
7718,0
7719,0.016
7720,0.014
7721,0
7722,0.024
7723,0
7724,0.006
7725,0.932
7726,0.002
7727,0.924
7728,0.104
7729,0
7730,0
7731,0.128
7732,0
7733,0
7734,0.91
7735,0
7736,0
7737,0
7738,0
7739,0
7740,0
7741,0
7742,0.858
7743,0.964
7744,0
7745,0
7746,0.73
7747,0
7748,0.268
7749,0
7750,0
7751,0
7752,0
7753,0.132
7754,0
7755,0
7756,0
7757,0
7758,0
7759,0.986
7760,0
7761,0.034
7762,0.04
7763,0
7764,0
7765,0
7766,0
7767,0
7768,0.03
7769,0
7770,0.022
7771,0.018
7772,0
7773,0
7774,0
7775,0.874
7776,0
7777,0.974
7778,0
7779,0.01
7780,0
7781,0.124
7782,0.01
7783,0.072
7784,0
7785,0
7786,0.192
7787,0.006
7788,0
7789,0.778
7790,0.016
7791,0.728
7792,0
7793,0.01
7794,0.902
7795,0.004
7796,0.13
7797,0
7798,0.964
7799,0
7800,0.006
7801,0
7802,0
7803,0
7804,0.006
7805,0
7806,0.82
7807,0
7808,0
7809,0.012
7810,0
7811,0.884
7812,0.042
7813,0.106
7814,0.084
7815,0.136
7816,0
7817,0.016
7818,0.006
7819,0
7820,0.002
7821,0.002
7822,0
7823,0
7824,0.016
7825,0.036
7826,0
7827,0.92
7828,0.022
7829,1
7830,0.05
7831,0.132
7832,0.096
7833,0.024
7834,0.308
7835,0.932
7836,0.01
7837,0.002
7838,0.004
7839,0.016
7840,0
7841,0.02
7842,0.078
7843,0.062
7844,0
7845,0.254
7846,0
7847,0.03
7848,0.002
7849,0
7850,0
7851,0
7852,0.666
7853,0.546
7854,0.004
7855,0.958
7856,0.976
7857,0.168
7858,0.014
7859,0
7860,0
7861,0
7862,0
7863,0
7864,0.526
7865,0.24
7866,0
7867,0.002
7868,0.004
7869,0.606
7870,0.014
7871,0.068
7872,0
7873,0.142
7874,0.954
7875,0
7876,0.006
7877,0
7878,0.922
7879,0.016
7880,0
7881,0.872
7882,0
7883,0.68
7884,0.002
7885,0
7886,0.882
7887,0.094
7888,0.042
7889,0.96
7890,0.002
7891,0.894
7892,0.004
7893,0.004
7894,0
7895,0.68
7896,0.006
7897,0.604
7898,0
7899,0
7900,0
7901,0
7902,0
7903,0
7904,0
7905,0
7906,0.106
7907,0.024
7908,0.058
7909,0
7910,0
7911,0.254
7912,0.002
7913,0
7914,0
7915,0
7916,0
7917,0.042
7918,0
7919,0.062
7920,0
7921,0.006
7922,0.096
7923,0.892
7924,0.346
7925,0.104
7926,0.07
7927,0.274
7928,0.042
7929,0
7930,0.708
7931,0.612
7932,0.818
7933,0
7934,0
7935,0
7936,0.286
7937,0.812
7938,0.952
7939,0.994
7940,0
7941,0.004
7942,0
7943,0
7944,0
7945,0
7946,0
7947,0.04
7948,0
7949,0.002
7950,0
7951,0
7952,0
7953,0
7954,0
7955,0.002
7956,0
7957,0
7958,0.098
7959,0.942
7960,0.328
7961,0.002
7962,0.052
7963,0.03
7964,0.022
7965,0
7966,0.002
7967,0.01
7968,0
7969,0.836
7970,0
7971,0.01
7972,0.016
7973,0.256
7974,0.69
7975,0
7976,0.004
7977,0
7978,0.43
7979,0.488
7980,0
7981,0
7982,0.646
7983,0.874
7984,0.202
7985,0.018
7986,0.884
7987,0.002
7988,0
7989,0.972
7990,0.702
7991,0
7992,0
7993,0.002
7994,0.046
7995,0.67
7996,0.004
7997,0
7998,0
7999,0
8000,0.004
8001,0
8002,0.04
8003,0.002
8004,0.182
8005,0.004
8006,0.002
8007,0
8008,0
8009,0
8010,0.038
8011,0.01
8012,0
8013,0.578
8014,0.6
8015,0
8016,0.972
8017,0.992
8018,0.948
8019,0.424
8020,0.066
8021,0.996
8022,0
8023,0.17
8024,0.008
8025,0.958
8026,0.99
8027,0.002
8028,0.992
8029,0.006
8030,0.018
8031,0
8032,0.182
8033,0.008
8034,0.002
8035,0
8036,0.82
8037,0.19
8038,0
8039,0.996
8040,0.098
8041,0.276
8042,0.174
8043,0.788
8044,0.936
8045,0
8046,0
8047,0
8048,0.376
8049,0.004
8050,0.002
8051,0.006
8052,0.002
8053,0.778
8054,0
8055,0.964
8056,0
8057,0.958
8058,0.154
8059,0
8060,0.002
8061,0
8062,0.002
8063,0.696
8064,0.008
8065,0.002
8066,0.808
8067,0
8068,0.012
8069,0
8070,0.838
8071,0.268
8072,0.078
8073,0
8074,0.988
8075,0.002
8076,0.096
8077,0
8078,0
8079,0.864
8080,0
8081,0
8082,0.002
8083,0.002
8084,0
8085,0
8086,0.006
8087,0.926
8088,0.164
8089,0
8090,0.114
8091,0
8092,0
8093,0.114
8094,0.006
8095,0
8096,0
8097,0.016
8098,0.002
8099,0.006
8100,0
8101,0
8102,0.06
8103,0
8104,0.766
8105,0.978
8106,0.026
8107,0.93
8108,0.002
8109,0
8110,0
8111,0.124
8112,0.958
8113,0.004
8114,0.506
