"UniqueID","Probability1"
6533,0.708
6534,0.116
6535,0.156
6536,0.326
6537,0.134
6538,0.884
6539,0.87
6540,0.9
6541,0.788
6542,0.002
6543,0.31
6544,0.112
6545,0
6546,0.986
6547,0.932
6548,0.938
6549,0.886
6550,0.358
6551,0
6552,0.742
6553,0.086
6554,0.01
6555,0.078
6556,0.412
6557,0.004
6558,0.126
6559,0
6560,0.048
6561,0
6562,0
6563,0.002
6564,0.016
6565,0.254
6566,0.002
6567,0.912
6568,0.98
6569,0
6570,0
6571,0.344
6572,0.016
6573,0.022
6574,0.08
6575,0.016
6576,0.064
6577,0
6578,0.012
6579,0.026
6580,0.002
6581,0.002
6582,0.872
6583,0
6584,0.616
6585,0
6586,0.026
6587,0.03
6588,0.002
6589,0.458
6590,0.022
6591,0.756
6592,0.01
6593,0.876
6594,0
6595,0
6596,0.77
6597,0.878
6598,0.006
6599,0.008
6600,0.014
6601,0.028
6602,0
6603,0.004
6604,0.006
6605,0.03
6606,0
6607,0.946
6608,0.004
6609,0.004
6610,0.008
6611,0.936
6612,0.37
6613,0
6614,0.062
6615,0
6616,0.146
6617,0.836
6618,0.178
6619,0.588
6620,0.002
6621,0.064
6622,0.066
6623,0
6624,0.002
6625,0.122
6626,0.014
6627,0.004
6628,0
6629,0.02
6630,0.722
6631,0.06
6632,0.22
6633,0.044
6634,0.046
6635,0.4
6636,0.214
6637,0.12
6638,0.09
6639,0.06
6640,0.152
6641,0.106
6642,0.18
6643,0.084
6644,0.204
6645,0.134
6646,0.004
6647,0.034
6648,0.074
6649,0.908
6650,0
6651,0.012
6652,0.958
6653,0.004
6654,0
6655,0.59
6656,0.362
6657,0.012
6658,0.022
6659,0
6660,0.056
6661,0
6662,0
6663,0.57
6664,0
6665,0.038
6666,0
6667,0
6668,0.012
6669,0
6670,0.006
6671,0.978
6672,0.086
6673,0.578
6674,0
6675,0.004
6676,0.912
6677,0.032
6678,0
6679,0.01
6680,0.224
6681,0.002
6682,0
6683,0.012
6684,0.012
6685,0.01
6686,0.016
6687,0.004
6688,0.978
6689,0.328
6690,0
6691,0.02
6692,0.094
6693,0.002
6694,0.002
6695,0.106
6696,0.006
6697,0.054
6698,0.002
6699,0.05
6700,0
6701,0.018
6702,0.002
6703,0
6704,0.058
6705,0.002
6706,0
6707,0.892
6708,0.004
6709,0.958
6710,0.89
6711,0.196
6712,0.01
6713,0.04
6714,0.17
6715,0.076
6716,0
6717,0.008
6718,0.16
6719,0.158
6720,0.008
6721,0.032
6722,0.06
6723,0.304
6724,0.072
6725,0.062
6726,0.23
6727,0.056
6728,0.068
6729,0.01
6730,0
6731,0.002
6732,0.278
6733,0.036
6734,0.804
6735,0.966
6736,0.006
6737,0
6738,0.018
6739,0.14
6740,0.01
6741,0.212
6742,0
6743,0.026
6744,0
6745,0.056
6746,0.344
6747,0
6748,0.012
6749,0.042
6750,0.338
6751,0
6752,0.016
6753,0.89
6754,0
6755,0
6756,0
6757,0
6758,0.096
6759,0.01
6760,0
6761,0.01
6762,0.102
6763,0.844
6764,0.024
6765,0.054
6766,0.02
6767,0
6768,0.738
6769,0.016
6770,0.894
6771,0
6772,0.83
6773,0
6774,0
6775,0.828
6776,0
6777,0.008
6778,0.012
6779,0.018
6780,0.012
6781,0.242
6782,0
6783,0.114
6784,0.198
6785,0.958
6786,0.928
6787,0.026
6788,0.056
6789,0
6790,0.182
6791,0.002
6792,0.012
6793,0.09
6794,0
6795,0.05
6796,0.016
6797,0.19
6798,0.014
6799,0.074
6800,0.552
6801,0.122
6802,0.058
6803,0.004
6804,0.002
6805,0.02
6806,0
6807,0.876
6808,0.852
6809,0.006
6810,0.114
6811,0.014
6812,0.394
6813,0.01
6814,0.01
6815,0.088
6816,0.134
6817,0.1
6818,0.002
6819,0.074
6820,0.106
6821,0.042
6822,0.002
6823,0.058
6824,0.004
6825,0.008
6826,0.01
6827,0.016
6828,0.004
6829,0.044
6830,0.004
6831,0
6832,0.316
6833,0.002
6834,0.08
6835,0.004
6836,0.59
6837,0.896
6838,0.01
6839,0.038
6840,0
6841,0.032
6842,0
6843,0
6844,0.028
6845,0.012
6846,0
6847,0
6848,0.79
6849,0.016
6850,0.02
6851,0
6852,0.032
6853,0
6854,0
6855,0.006
6856,0
6857,0.004
6858,0.002
6859,0.302
6860,0.072
6861,0.09
6862,0.354
6863,0.398
6864,0
6865,0.002
6866,0
6867,0.83
6868,0.006
6869,0.834
6870,0.76
6871,0
6872,0.562
6873,0.044
6874,0.058
6875,0.97
6876,0.302
6877,0.296
6878,0
6879,0.082
6880,0.028
6881,0.056
6882,0.006
6883,0
6884,0
6885,0.162
6886,0.01
6887,0
6888,0
