"UniqueID","Probability1"
6533,0.016
6534,0.158
6535,0.998
6536,0.322
6537,0.19
6538,0.908
6539,0.928
6540,0.002
6541,0.054
6542,0.008
6543,0
6544,0.878
6545,0
6546,0
6547,0
6548,0.988
6549,0.988
6550,0.434
6551,0.178
6552,0.018
6553,0
6554,0.09
6555,0.95
6556,0
6557,0
6558,0.238
6559,0
6560,0.998
6561,0.752
6562,0.018
6563,0
6564,0
6565,0
6566,0.006
6567,0.164
6568,0.996
6569,0.97
6570,0
6571,0.046
6572,0.702
6573,0.994
6574,0.992
6575,0.002
6576,0.804
6577,0
6578,0.002
6579,0.03
6580,0
6581,0.938
6582,0
6583,0
6584,0.084
6585,0.002
6586,0
6587,0.24
6588,0
6589,0
6590,0.214
6591,0.948
6592,0.02
6593,0
6594,0
6595,0.014
6596,0
6597,0.036
6598,0
6599,0
6600,0.714
6601,0.138
6602,0
6603,0
6604,0.066
6605,0.118
6606,0.982
6607,0.004
6608,0.966
6609,0.728
6610,0
6611,0
6612,0.31
6613,0.002
6614,0.026
6615,0
6616,0.034
6617,0
6618,0.064
6619,0.064
6620,0
6621,0.01
6622,0.01
6623,0
6624,0.012
6625,0.004
6626,0
6627,0
6628,0
6629,0.008
6630,0
6631,0.112
6632,0.184
6633,0.934
6634,0.032
6635,0.414
6636,0.204
6637,0.284
6638,0.226
6639,0.218
6640,0.114
6641,0.238
6642,0.112
6643,0.222
6644,0.23
6645,0.046
6646,0.186
6647,0.004
6648,0.006
6649,0.328
6650,0.994
6651,0
6652,0.002
6653,0.042
6654,0
6655,0.118
6656,0.098
6657,0
6658,0.004
6659,0
6660,0.39
6661,0
6662,0.002
6663,0
6664,0.284
6665,0.002
6666,0
6667,0.022
6668,0.04
6669,0
6670,0.828
6671,0.83
6672,0
6673,0.098
6674,0.018
6675,0.004
6676,0
6677,0
6678,0
6679,0
6680,0.862
6681,0
6682,0
6683,0.018
6684,0.376
6685,0
6686,0
6687,0
6688,0.976
6689,0
6690,0
6691,0.204
6692,0.324
6693,0
6694,0.964
6695,0.076
6696,0
6697,0.774
6698,0.004
6699,0.196
6700,0
6701,0.676
6702,0
6703,0.066
6704,0.016
6705,0
6706,0
6707,0.046
6708,0.002
6709,0
6710,0
6711,0.006
6712,0
6713,0.008
6714,0.006
6715,0
6716,0
6717,0
6718,0.158
6719,0.008
6720,0.74
6721,0
6722,0.002
6723,0.996
6724,0.166
6725,0.712
6726,0.008
6727,0.226
6728,0.942
6729,0
6730,0
6731,0.162
6732,0
6733,0
6734,0.004
6735,0.07
6736,0
6737,0
6738,0.124
6739,0.142
6740,0
6741,0.222
6742,0
6743,0.008
6744,0.042
6745,0.206
6746,0
6747,0
6748,0.116
6749,0.004
6750,0.97
6751,0
6752,0.17
6753,0.454
6754,0.008
6755,0
6756,0.002
6757,0.346
6758,0.332
6759,0
6760,0.052
6761,0.006
6762,0
6763,0
6764,0.934
6765,0.01
6766,0
6767,0.026
6768,0.02
6769,0.006
6770,0.092
6771,0.056
6772,0.028
6773,0
6774,0
6775,0.736
6776,0.006
6777,0
6778,0
6779,0.14
6780,1
6781,0.162
6782,0.028
6783,0.102
6784,0.014
6785,0.058
6786,0.03
6787,0.982
6788,0.166
6789,0.004
6790,0.004
6791,0
6792,0
6793,0.258
6794,0
6795,0.016
6796,0
6797,0
6798,0.01
6799,0
6800,0.008
6801,0.052
6802,0
6803,0
6804,0
6805,0
6806,0
6807,0.616
6808,1
6809,0.008
6810,0.978
6811,0
6812,0.098
6813,0
6814,0.032
6815,0.046
6816,0.35
6817,0.064
6818,0
6819,0.978
6820,0.016
6821,0
6822,0.006
6823,0.078
6824,0.766
6825,0.99
6826,0
6827,0
6828,0
6829,0.194
6830,0.01
6831,0.022
6832,0.01
6833,0
6834,0.006
6835,0.96
6836,0.01
6837,0.046
6838,0.012
6839,0
6840,0
6841,0
6842,0
6843,0
6844,0.898
6845,0.988
6846,0
6847,0.362
6848,0.002
6849,0
6850,0.022
6851,0
6852,0.846
6853,0
6854,0.006
6855,0.01
6856,0
6857,0.08
6858,0
6859,0.888
6860,0.66
6861,0.002
6862,0.006
6863,0.002
6864,0.462
6865,0.006
6866,0.936
6867,0.204
6868,0.004
6869,0.592
6870,0.014
6871,0.004
6872,0.034
6873,0.016
6874,0.24
6875,0
6876,0.026
6877,0.236
6878,0.368
6879,0.014
6880,0
6881,0.012
6882,0
6883,0
6884,0
6885,0.962
6886,0
