"UniqueID","Probability1"
6533,0.008
6534,0.128
6535,0.996
6536,0.284
6537,0.258
6538,0.896
6539,0.946
6540,0.138
6541,0.006
6542,0.004
6543,0
6544,0.876
6545,0
6546,0
6547,0
6548,0.978
6549,0.978
6550,0.374
6551,0.226
6552,0.002
6553,0.002
6554,0.052
6555,0.98
6556,0
6557,0
6558,0.244
6559,0
6560,0.996
6561,0.474
6562,0
6563,0
6564,0
6565,0
6566,0.008
6567,0.306
6568,0.992
6569,0.994
6570,0
6571,0.032
6572,0.918
6573,0.996
6574,0.986
6575,0.004
6576,0.594
6577,0
6578,0
6579,0.042
6580,0
6581,0.972
6582,0.002
6583,0
6584,0.104
6585,0.002
6586,0
6587,0.218
6588,0
6589,0
6590,0.066
6591,0.906
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.042
6598,0
6599,0
6600,0.358
6601,0.102
6602,0
6603,0
6604,0.076
6605,0.062
6606,0.99
6607,0.002
6608,0.996
6609,0.688
6610,0
6611,0
6612,0.216
6613,0
6614,0.036
6615,0
6616,0.04
6617,0.002
6618,0.094
6619,0.02
6620,0
6621,0
6622,0.016
6623,0
6624,0.002
6625,0
6626,0
6627,0
6628,0
6629,0.004
6630,0
6631,0.072
6632,0.15
6633,0.928
6634,0.038
6635,0.456
6636,0.176
6637,0.264
6638,0.208
6639,0.184
6640,0.114
6641,0.198
6642,0.096
6643,0.186
6644,0.186
6645,0.228
6646,0.24
6647,0.012
6648,0.002
6649,0.222
6650,0.996
6651,0
6652,0.008
6653,0.03
6654,0
6655,0.108
6656,0.054
6657,0.002
6658,0.002
6659,0.002
6660,0.128
6661,0
6662,0
6663,0
6664,0.048
6665,0.004
6666,0
6667,0.006
6668,0.056
6669,0
6670,0.918
6671,0.912
6672,0
6673,0.038
6674,0.008
6675,0.012
6676,0
6677,0
6678,0
6679,0.002
6680,0.888
6681,0
6682,0
6683,0.008
6684,0.2
6685,0
6686,0
6687,0.012
6688,1
6689,0
6690,0
6691,0.19
6692,0.166
6693,0
6694,0.994
6695,0.06
6696,0
6697,0.774
6698,0.002
6699,0.144
6700,0
6701,0.678
6702,0
6703,0.106
6704,0.01
6705,0.01
6706,0
6707,0.014
6708,0.006
6709,0
6710,0
6711,0.006
6712,0
6713,0.006
6714,0.004
6715,0
6716,0
6717,0
6718,0.162
6719,0.006
6720,0.808
6721,0
6722,0
6723,0.988
6724,0.076
6725,0.138
6726,0
6727,0.39
6728,0.928
6729,0
6730,0
6731,0.168
6732,0
6733,0
6734,0.006
