"UniqueID","Probability1"
6533,0.004
6534,0.12
6535,0.998
6536,0.402
6537,0.234
6538,0.868
6539,0.956
6540,0.006
6541,0.042
6542,0.016
6543,0
6544,0.882
6545,0
6546,0
6547,0
6548,0.98
6549,0.962
6550,0.476
6551,0.314
6552,0.008
6553,0.024
6554,0.024
6555,0.984
6556,0.002
6557,0
6558,0.384
6559,0
6560,0.97
6561,0.752
6562,0
6563,0
6564,0.002
6565,0
6566,0.036
6567,0.204
6568,0.96
6569,0.962
6570,0
6571,0.062
6572,0.708
6573,0.99
6574,0.994
6575,0.004
6576,0.668
6577,0
6578,0
6579,0.134
6580,0
6581,0.772
6582,0.008
6583,0
6584,0.124
6585,0.01
6586,0.006
6587,0.256
6588,0
6589,0
6590,0.294
6591,0.948
6592,0.016
6593,0
6594,0.002
6595,0
6596,0
6597,0.07
6598,0
6599,0
6600,0.546
6601,0.118
6602,0
6603,0
6604,0.06
6605,0.094
6606,0.966
6607,0
6608,0.954
6609,0.646
6610,0
6611,0
6612,0.318
6613,0
6614,0.064
6615,0
6616,0.06
6617,0.002
6618,0.074
6619,0.144
6620,0
6621,0.034
6622,0.092
6623,0
6624,0.01
6625,0.004
6626,0
6627,0
6628,0
6629,0.01
6630,0
6631,0.086
6632,0.232
6633,0.938
6634,0.036
6635,0.474
6636,0.266
6637,0.348
6638,0.288
6639,0.212
6640,0.176
6641,0.258
6642,0.168
6643,0.278
6644,0.278
6645,0.054
6646,0.348
6647,0.03
6648,0.006
6649,0.332
6650,0.984
6651,0
6652,0
6653,0.028
6654,0
6655,0.218
6656,0.12
6657,0
6658,0.01
6659,0.018
6660,0.502
6661,0
6662,0
6663,0
6664,0.192
6665,0.004
6666,0
6667,0.006
6668,0.022
6669,0
6670,0.786
6671,0.77
6672,0
6673,0.048
6674,0.03
6675,0.01
6676,0
6677,0
6678,0.006
6679,0
6680,0.95
6681,0.012
6682,0
6683,0.018
6684,0.5
6685,0
6686,0.012
6687,0.014
6688,0.982
6689,0
6690,0
6691,0.106
6692,0.316
6693,0
6694,0.98
6695,0.066
6696,0
6697,0.668
6698,0
6699,0.128
6700,0
6701,0.694
6702,0
