"UniqueID","Probability1"
6533,0.018
6534,0.126
6535,0.984
6536,0.302
6537,0.206
6538,0.868
6539,0.866
6540,0.004
6541,0.01
6542,0.006
6543,0
6544,0.746
6545,0
6546,0
6547,0
6548,0.952
6549,0.968
6550,0.364
6551,0.142
6552,0
6553,0.004
6554,0.054
6555,0.964
6556,0
6557,0
6558,0.334
6559,0
6560,0.982
6561,0.574
6562,0
6563,0
6564,0
6565,0
6566,0.014
6567,0.332
6568,0.976
6569,0.954
6570,0
6571,0.018
6572,0.79
6573,0.992
6574,0.978
6575,0.002
6576,0.672
6577,0.002
6578,0
6579,0.026
6580,0
6581,0.946
6582,0.006
6583,0.002
6584,0.086
6585,0
6586,0.006
6587,0.218
6588,0
6589,0
6590,0.04
6591,0.922
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.038
6598,0
6599,0
6600,0.392
6601,0.08
6602,0
6603,0
6604,0.078
6605,0.09
6606,0.952
6607,0.006
6608,0.984
6609,0.604
6610,0
6611,0
6612,0.26
6613,0
6614,0.04
6615,0
6616,0.024
6617,0.006
6618,0.104
6619,0.052
6620,0
6621,0.002
6622,0.024
6623,0
6624,0
6625,0
6626,0
6627,0
6628,0
6629,0.01
6630,0
6631,0.048
6632,0.146
6633,0.944
6634,0.076
6635,0.462
6636,0.182
6637,0.266
6638,0.228
6639,0.264
6640,0.116
6641,0.214
6642,0.106
6643,0.208
6644,0.216
6645,0.028
6646,0.156
6647,0.002
6648,0.01
6649,0.164
6650,0.978
6651,0
6652,0.002
6653,0.006
6654,0.002
6655,0.136
6656,0.104
6657,0
6658,0.002
6659,0.002
6660,0.198
6661,0
6662,0
6663,0
6664,0.096
6665,0.014
6666,0
6667,0.01
6668,0.04
6669,0
6670,0.77
6671,0.766
6672,0
6673,0.026
6674,0.01
6675,0.006
6676,0
6677,0
6678,0.002
6679,0
6680,0.846
6681,0
6682,0
6683,0.016
6684,0.19
6685,0
6686,0
6687,0.012
6688,0.962
6689,0
6690,0
6691,0.17
6692,0.092
6693,0
6694,0.968
6695,0.054
6696,0
6697,0.7
6698,0
6699,0.188
6700,0
6701,0.62
6702,0
6703,0.112
6704,0.016
6705,0.036
6706,0
6707,0.02
6708,0.004
6709,0
6710,0.002
6711,0.006
6712,0.002
6713,0.002
6714,0.002
6715,0
6716,0
6717,0
6718,0.216
6719,0.01
6720,0.736
6721,0
6722,0.002
6723,0.996
6724,0.072
6725,0.11
6726,0.004
6727,0.264
6728,0.868
6729,0
6730,0
6731,0.16
6732,0
6733,0
6734,0
6735,0.01
6736,0
6737,0
6738,0.144
6739,0.134
6740,0
6741,0.194
6742,0
6743,0
6744,0.014
6745,0.234
6746,0
6747,0
6748,0.086
6749,0.002
6750,0.956
6751,0
6752,0.088
6753,0.59
6754,0.012
6755,0
6756,0
6757,0.31
6758,0.272
6759,0
6760,0.012
6761,0.002
6762,0.002
6763,0
6764,0.872
6765,0
6766,0
6767,0
6768,0.002
6769,0.006
6770,0.074
6771,0
6772,0.028
6773,0
6774,0
6775,0.624
6776,0.002
6777,0
6778,0
6779,0.064
6780,0.992
6781,0.094
6782,0.016
6783,0.116
6784,0.008
6785,0.07
6786,0.058
6787,0.956
6788,0.194
6789,0.008
6790,0.006
6791,0
6792,0
6793,0.064
6794,0
6795,0.012
6796,0.006
6797,0
6798,0
6799,0.012
6800,0.026
6801,0.004
6802,0
6803,0
6804,0
6805,0.004
6806,0
6807,0.998
6808,1
6809,0.004
