"UniqueID","Probability1"
6533,0.008
6534,0.126
6535,1
6536,0.368
6537,0.196
6538,0.918
6539,0.934
6540,0.102
6541,0.024
6542,0
6543,0
6544,0.852
6545,0
6546,0
6547,0.002
6548,0.99
6549,0.99
6550,0.39
6551,0.156
6552,0.002
6553,0.002
6554,0.068
6555,0.992
6556,0
6557,0
6558,0.186
6559,0
6560,1
6561,0.58
6562,0
6563,0
6564,0.004
6565,0
6566,0.01
6567,0.31
6568,0.988
6569,0.98
6570,0
6571,0.046
6572,0.854
6573,0.998
6574,0.994
6575,0.006
6576,0.646
6577,0
6578,0.002
6579,0.038
6580,0.002
6581,0.98
6582,0
6583,0
6584,0.182
6585,0.002
6586,0.004
6587,0.224
6588,0
6589,0
6590,0.116
6591,0.95
6592,0
6593,0
6594,0.002
6595,0
6596,0
6597,0.034
6598,0
6599,0
6600,0.408
6601,0.112
6602,0
6603,0
6604,0.088
6605,0.088
6606,0.986
6607,0.002
6608,0.99
6609,0.638
6610,0
6611,0
6612,0.254
6613,0
6614,0.03
6615,0
6616,0.058
6617,0.002
6618,0.12
6619,0.056
6620,0
6621,0
6622,0.022
6623,0
6624,0.006
6625,0.002
6626,0
6627,0
6628,0
6629,0.01
6630,0
6631,0.082
6632,0.146
6633,0.956
6634,0.038
6635,0.49
6636,0.176
6637,0.248
6638,0.194
6639,0.212
6640,0.11
6641,0.198
6642,0.1
6643,0.184
6644,0.184
6645,0.162
6646,0.15
6647,0.01
6648,0
6649,0.254
6650,0.986
6651,0
6652,0.002
6653,0.034
6654,0
6655,0.128
6656,0.068
6657,0
6658,0
6659,0
6660,0.176
6661,0
6662,0
6663,0
6664,0.064
6665,0.01
6666,0
6667,0.014
6668,0.076
6669,0
6670,0.868
6671,0.88
6672,0
6673,0.05
6674,0.012
6675,0.014
6676,0
6677,0
6678,0
6679,0
6680,0.852
6681,0
6682,0
6683,0.02
6684,0.196
6685,0
6686,0
6687,0.01
6688,0.986
6689,0
6690,0
6691,0.242
6692,0.218
6693,0
6694,0.992
6695,0.064
6696,0
6697,0.728
6698,0.004
6699,0.15
6700,0
6701,0.762
6702,0
6703,0.124
6704,0.028
6705,0.004
6706,0
6707,0.016
6708,0
6709,0
6710,0
6711,0.012
6712,0
6713,0.006
6714,0
6715,0
6716,0
6717,0
6718,0.19
6719,0.016
6720,0.752
6721,0
6722,0.002
6723,0.992
6724,0.102
6725,0.114
6726,0.008
6727,0.396
6728,0.936
6729,0
6730,0
6731,0.184
6732,0
6733,0
6734,0
6735,0.09
6736,0
6737,0
6738,0.098
6739,0.138
6740,0
6741,0.232
6742,0
6743,0
6744,0.036
6745,0.206
6746,0
6747,0
6748,0.096
6749,0.006
6750,0.988
6751,0
6752,0.172
6753,0.538
6754,0.018
6755,0
6756,0
6757,0.226
6758,0.328
6759,0
6760,0.03
6761,0.004
6762,0
6763,0
6764,0.958
6765,0.012
6766,0
6767,0
6768,0.012
6769,0.004
6770,0.086
6771,0
6772,0.026
6773,0
6774,0
6775,0.612
6776,0
6777,0
6778,0
6779,0.144
6780,0.998
6781,0.11
6782,0.01
6783,0.08
6784,0.016
6785,0.086
6786,0.04
6787,0.978
6788,0.16
6789,0
6790,0.018
6791,0
6792,0
6793,0.142
6794,0
6795,0.006
6796,0
6797,0.002
6798,0.002
6799,0.006
6800,0.034
6801,0.006
6802,0
6803,0
6804,0
6805,0
6806,0
6807,1
6808,1
6809,0.002
6810,0.934
6811,0
6812,0.072
6813,0
6814,0.046
6815,0.068
6816,0.33
6817,0.1
6818,0
6819,0.964
6820,0.056
6821,0
6822,0.002
6823,0.062
6824,0.586
6825,0.994
6826,0
6827,0
6828,0
6829,0.246
6830,0.038
6831,0.004
6832,0.002
6833,0
6834,0
6835,0.976
6836,0.002
6837,0.02
6838,0.148
6839,0
6840,0
6841,0
6842,0
6843,0
6844,0.926
6845,0.994
6846,0
6847,0.21
6848,0.002
6849,0.002
6850,0.01
6851,0
6852,0.892
6853,0
6854,0
6855,0.004
6856,0
6857,0.072
6858,0
6859,0.922
6860,0.922
6861,0
6862,0.004
6863,0
6864,0.124
6865,0.014
6866,0.94
6867,0.146
6868,0.004
6869,0.43
6870,0.032
6871,0.01
6872,0.008
6873,0.018
6874,0.206
6875,0
6876,0.022
6877,0.196
6878,0.366
6879,0.022
6880,0
6881,0.012
6882,0
6883,0
6884,0.008
6885,0.956
6886,0.006
6887,0
6888,0
6889,0
6890,0.002
6891,0.01
6892,0
6893,0.028
6894,0
6895,0
6896,0.018
6897,0.004
6898,0.004
6899,0
6900,0
6901,0
6902,0
6903,0.194
6904,0.976
6905,0.024
6906,0
6907,0.068
6908,0
6909,0.028
6910,0
6911,0.012
6912,0
6913,0.14
6914,0
6915,0
6916,0
6917,0
6918,0.248
6919,0.084
6920,0.178
6921,0.956
6922,0.044
6923,0
6924,0.006
6925,0.902
6926,0
6927,0.748
6928,0
6929,0
6930,0
6931,0
6932,0
6933,0
6934,0.98
6935,0.248
6936,0
6937,0
6938,0.032
6939,0.004
6940,0.984
6941,0.116
6942,0.002
6943,0.956
6944,0.004
6945,0
6946,0.008
6947,0.074
6948,0
6949,0.002
6950,0.074
6951,0.242
6952,0.004
6953,0.572
6954,0
6955,0.034
6956,0.918
6957,0
6958,0
6959,0
6960,0.102
6961,0
6962,0
6963,0.572
6964,0.008
6965,0.008
6966,0.28
6967,0.976
6968,0.008
6969,0
6970,0.12
6971,0.108
6972,0.32
6973,0.066
6974,0
6975,0.014
6976,0.03
6977,0
6978,0
6979,0.228
6980,0
6981,0
6982,0.154
6983,0
6984,0.002
6985,0.016
6986,0.008
6987,0
6988,0
6989,0.016
6990,0.896
6991,0.002
6992,0
6993,0
6994,0.006
6995,0
6996,0
6997,0
6998,0
6999,0
7000,0.14
7001,0
7002,0.986
7003,0.996
7004,0.188
7005,0.89
7006,0
7007,0.004
7008,0.002
7009,0.984
7010,0.01
7011,0.022
7012,0.962
7013,0.01
7014,0.44
7015,0
7016,0.92
7017,0.214
7018,0.194
7019,0.1
7020,0.14
7021,0.916
7022,0.956
7023,0.97
7024,0.978
7025,0
7026,0.862
7027,0.056
7028,0.034
7029,0
7030,0.48
7031,0
7032,0.1
7033,0.014
7034,0.262
7035,0.38
7036,0.09
7037,0.998
7038,0.106
7039,0.032
7040,0.054
7041,0
7042,0
7043,0.042
7044,0.646
7045,0.02
7046,0
7047,0.992
7048,0.968
7049,0.606
7050,0
7051,0.034
7052,0.134
7053,0.042
7054,0.002
7055,0.002
7056,0.316
7057,0.104
7058,0.088
7059,0.006
7060,0
7061,0.996
7062,0
7063,0
7064,0.116
7065,0.02
7066,0.476
7067,0.002
7068,0
7069,0
7070,0.102
7071,0.166
7072,0.988
7073,0.592
7074,0.006
7075,0.348
7076,0
7077,0
7078,0.118
7079,0.416
7080,0
7081,0.234
7082,0.902
7083,0
7084,0.838
7085,0.004
7086,0.006
7087,0.946
7088,0.002
7089,0.912
7090,0
7091,0
7092,0.06
7093,0.01
7094,0
7095,0.444
7096,0
7097,0.978
7098,0.29
7099,0
7100,0
7101,0
7102,0
7103,0.276
7104,0.01
7105,0
7106,0.002
7107,0.006
7108,0.044
7109,0.004
7110,0.006
7111,0
7112,0
7113,0.006
7114,0
7115,0
7116,0.452
7117,0.036
7118,0.192
7119,0
7120,0.998
7121,0.136
7122,0.12
7123,0.072
7124,0.108
7125,0
7126,0.084
7127,0.032
7128,0
7129,0
7130,0.002
7131,0.994
7132,0.318
7133,0.064
7134,0.116
7135,0.014
7136,0.112
7137,0
7138,0.466
7139,0.002
7140,0.006
7141,0.988
7142,0
7143,0.016
7144,0
7145,0.85
7146,0
7147,0
7148,0.988
7149,0
7150,0.91
7151,0.288
7152,0.064
7153,0.082
7154,0
7155,0.244
7156,0
7157,0.006
7158,0.028
7159,0
7160,0
7161,0
7162,0.046
7163,0.102
7164,0
7165,0
7166,0.004
7167,0
7168,0
7169,0
7170,0
7171,0
7172,0.022
7173,0.004
7174,0
7175,0.22
7176,0.322
7177,0.036
7178,0.96
7179,0.076
7180,0.964
7181,0.248
7182,0.024
7183,0
7184,0
7185,0.978
7186,0.422
7187,0
7188,0.882
7189,0
7190,0
7191,0.004
7192,0.002
7193,0
7194,0.002
7195,0
7196,0.04
7197,0.006
7198,0
7199,0
7200,0
7201,0
7202,0.12
7203,0.086
7204,0
7205,0.002
7206,0.174
7207,0.018
7208,0.926
7209,0.028
7210,0.414
7211,0.012
7212,0.118
7213,0.132
7214,0.016
7215,0
7216,0.106
7217,0.3
7218,0.94
7219,0
7220,0.124
7221,0
7222,0.07
7223,0.014
7224,0.002
7225,0.156
7226,0
7227,0.014
7228,0.074
7229,0.948
7230,0.454
7231,0
7232,0.16
7233,0.168
7234,0.09
7235,0
7236,0
7237,0
7238,0.966
7239,0
7240,0
7241,0
7242,0.952
7243,0.004
7244,0.006
7245,0.016
7246,0
7247,0
7248,0.948
7249,0.004
7250,0.078
7251,0.004
7252,0.002
7253,0
7254,0.318
7255,0.332
7256,0.304
7257,0.002
7258,0.91
7259,0.034
7260,0
7261,0.01
7262,0.276
7263,0.014
7264,0.15
7265,0.112
7266,0.11
7267,0
7268,0.34
7269,0
7270,0.074
7271,0.018
7272,0
7273,0.114
7274,0.274
7275,0.002
7276,0.002
7277,0.028
7278,0
7279,0.016
7280,0
7281,0.002
7282,0.028
7283,0
7284,0.002
7285,0.124
7286,0.016
7287,0
7288,0.564
7289,0
7290,0.998
7291,0.098
7292,0
7293,0.012
7294,0.014
7295,0
7296,0
7297,0.002
7298,0.03
7299,0.002
