"UniqueID","Probability1"
6533,0.106
6534,0.126
6535,0.998
6536,0.348
6537,0.338
6538,0.82
6539,0.964
6540,0.018
6541,0.014
6542,0.046
6543,0.002
6544,0.812
6545,0
6546,0.008
6547,0.002
6548,0.968
6549,0.948
6550,0.334
6551,0.452
6552,0.002
6553,0.006
6554,0.098
6555,0.82
6556,0.002
6557,0
6558,0.492
6559,0
6560,0.944
6561,0.59
6562,0
6563,0
6564,0.004
6565,0
6566,0.016
6567,0.282
6568,0.936
6569,0.942
6570,0
6571,0.068
6572,0.722
6573,0.94
6574,0.87
6575,0.03
6576,0.582
6577,0
6578,0
6579,0.02
6580,0
6581,0.894
6582,0.018
6583,0
6584,0.148
6585,0.004
6586,0.028
6587,0.24
6588,0.014
6589,0
6590,0.222
6591,0.912
6592,0.024
6593,0.014
6594,0.022
6595,0.008
6596,0.03
6597,0.008
6598,0.01
6599,0.024
6600,0.474
6601,0.172
6602,0
6603,0.002
6604,0.028
6605,0.25
6606,0.882
6607,0
6608,0.904
6609,0.688
6610,0
6611,0
6612,0.3
6613,0
6614,0.04
6615,0
6616,0.08
6617,0.048
6618,0.024
6619,0.094
6620,0
6621,0.024
6622,0.006
6623,0
6624,0.008
6625,0.01
6626,0
6627,0.004
6628,0
6629,0.016
6630,0
6631,0.148
6632,0.24
6633,0.884
6634,0.056
6635,0.498
6636,0.254
6637,0.272
6638,0.242
6639,0.194
6640,0.16
6641,0.23
6642,0.284
6643,0.542
6644,0.228
6645,0.056
6646,0.486
6647,0.008
6648,0.018
6649,0.564
6650,0.978
6651,0
6652,0.002
6653,0.008
6654,0
6655,0.182
6656,0.03
6657,0
6658,0
6659,0.004
6660,0.32
6661,0
6662,0
6663,0.004
6664,0.272
6665,0.008
6666,0
6667,0.034
6668,0.046
6669,0
6670,0.882
6671,0.824
6672,0.002
6673,0.29
6674,0.016
6675,0.012
6676,0
6677,0
6678,0.122
6679,0.002
6680,0.9
6681,0.018
6682,0
6683,0.028
6684,0.454
6685,0
6686,0.044
6687,0.06
6688,0.984
6689,0
6690,0
6691,0.176
6692,0.328
6693,0
6694,0.924
6695,0.064
6696,0
6697,0.726
6698,0.006
6699,0.128
6700,0
6701,0.56
6702,0
6703,0.09
6704,0.14
6705,0.008
6706,0
6707,0.106
6708,0
6709,0
6710,0.002
6711,0.006
6712,0.002
6713,0.012
6714,0.046
6715,0.004
6716,0
6717,0
6718,0.14
6719,0.078
6720,0.788
6721,0
6722,0.008
6723,0.974
6724,0.148
6725,0.614
6726,0.03
6727,0.286
6728,0.936
6729,0
6730,0
6731,0.162
6732,0
6733,0.04
6734,0
6735,0.05
6736,0
6737,0.004
6738,0.078
6739,0.33
6740,0.004
6741,0.102
6742,0
6743,0.014
6744,0.06
6745,0.196
6746,0
6747,0.002
6748,0.138
6749,0.032
6750,0.934
6751,0.002
6752,0.166
6753,0.438
6754,0.016
6755,0.002
6756,0
6757,0.188
6758,0.188
6759,0
6760,0.004
6761,0
6762,0.032
6763,0
6764,0.926
6765,0.006
6766,0.006
6767,0
6768,0.068
6769,0.002
6770,0.052
6771,0
6772,0.064
6773,0
6774,0.01
6775,0.464
6776,0.012
6777,0
6778,0.004
6779,0.076
6780,0.984
6781,0.098
6782,0.054
6783,0.022
6784,0.01
6785,0.014
6786,0.004
6787,0.968
6788,0.166
6789,0.008
6790,0.042
6791,0
6792,0.002
6793,0.322
6794,0
6795,0.058
6796,0.016
6797,0.004
6798,0.054
6799,0.254
6800,0.016
6801,0.096
6802,0
6803,0
6804,0.002
6805,0.006
6806,0
6807,0.582
6808,1
6809,0.026
