"UniqueID","Probability1"
6533,0.08
6534,0.112
6535,0.996
6536,0.482
6537,0.186
6538,0.874
6539,0.952
6540,0.028
6541,0.032
6542,0.01
6543,0
6544,0.832
6545,0.002
6546,0
6547,0
6548,0.982
6549,0.978
6550,0.332
6551,0.208
6552,0.012
6553,0.022
6554,0.134
6555,0.858
6556,0
6557,0
6558,0.278
6559,0
6560,0.98
6561,0.536
6562,0
6563,0
6564,0.01
6565,0
6566,0.018
6567,0.148
6568,0.97
6569,0.938
6570,0
6571,0.05
6572,0.702
6573,0.938
6574,0.904
6575,0.018
6576,0.674
6577,0
6578,0
6579,0.014
6580,0
6581,0.9
6582,0.018
6583,0
6584,0.206
6585,0.004
6586,0.022
6587,0.278
6588,0.01
6589,0
6590,0.222
6591,0.91
6592,0
6593,0.02
6594,0.02
6595,0.002
6596,0.018
6597,0.002
6598,0
6599,0.018
6600,0.568
6601,0.236
6602,0.002
6603,0
6604,0.03
6605,0.298
6606,0.916
6607,0.006
6608,0.94
6609,0.718
6610,0
6611,0
6612,0.324
6613,0
6614,0.056
6615,0.002
6616,0.096
6617,0.04
6618,0.034
6619,0.118
6620,0
6621,0.004
6622,0.004
6623,0
6624,0.022
6625,0.028
6626,0
6627,0
6628,0
6629,0.026
6630,0
6631,0.148
6632,0.284
6633,0.898
6634,0.04
6635,0.438
6636,0.244
6637,0.354
6638,0.312
6639,0.178
6640,0.158
6641,0.308
6642,0.33
6643,0.524
6644,0.28
6645,0.102
6646,0.26
6647,0.028
6648,0.082
6649,0.602
6650,0.954
6651,0
6652,0
6653,0.008
6654,0
6655,0.218
6656,0.042
6657,0.008
6658,0.016
6659,0
6660,0.32
6661,0
6662,0
6663,0.002
6664,0.326
6665,0.018
6666,0
6667,0.032
6668,0.032
6669,0
6670,0.948
6671,0.864
6672,0
6673,0.398
6674,0.014
6675,0.04
6676,0
6677,0.042
6678,0.074
6679,0.002
6680,0.856
6681,0.02
6682,0
6683,0.046
6684,0.324
6685,0.05
6686,0.008
6687,0.038
6688,0.958
6689,0
6690,0.004
6691,0.236
6692,0.224
6693,0.03
6694,0.932
6695,0.114
6696,0.004
6697,0.75
6698,0.002
6699,0.126
6700,0
6701,0.464
6702,0.008
6703,0.098
6704,0.12
6705,0.012
6706,0
6707,0.08
6708,0
6709,0.002
6710,0.036
6711,0.008
6712,0.002
6713,0.022
6714,0.032
6715,0.002
6716,0
6717,0.004
6718,0.228
6719,0.052
6720,0.78
6721,0
6722,0.004
6723,0.982
6724,0.122
6725,0.574
6726,0.036
6727,0.264
6728,0.884
6729,0.002
6730,0
6731,0.262
6732,0.006
6733,0.026
6734,0.002
6735,0.048
6736,0.002
6737,0
6738,0.058
6739,0.374
6740,0.002
6741,0.066
6742,0
6743,0.006
6744,0.032
6745,0.236
6746,0.008
6747,0.002
6748,0.092
6749,0.05
6750,0.928
6751,0
6752,0.252
6753,0.516
6754,0.026
6755,0.012
6756,0.006
6757,0.286
6758,0.148
6759,0
6760,0.014
6761,0.01
6762,0.03
6763,0.008
6764,0.91
6765,0.022
6766,0.01
6767,0.004
6768,0.064
6769,0.014
6770,0.074
6771,0.002
6772,0.034
6773,0.002
6774,0.026
6775,0.356
6776,0.01
6777,0.004
6778,0.014
6779,0.164
6780,0.982
6781,0.094
6782,0.074
6783,0.044
6784,0.016
6785,0.036
6786,0.016
6787,0.926
6788,0.336
6789,0.014
6790,0.02
6791,0
6792,0
6793,0.34
6794,0.004
6795,0.098
6796,0.018
6797,0.01
6798,0.018
6799,0.292
6800,0.034
6801,0.06
6802,0
6803,0.002
6804,0.002
6805,0.004
6806,0
6807,0.596
6808,0.996
6809,0.02
6810,0.97
6811,0.004
6812,0.19
6813,0
6814,0.02
6815,0.028
6816,0.296
6817,0.094
6818,0.004
6819,0.954
6820,0.016
6821,0.01
6822,0.006
6823,0.066
6824,0.534
6825,0.952
6826,0
6827,0.006
6828,0
6829,0.146
6830,0.012
6831,0.076
6832,0.002
6833,0.044
6834,0
6835,0.964
6836,0.004
6837,0.034
6838,0.064
6839,0
6840,0
6841,0.018
6842,0
6843,0
6844,0.864
6845,0.978
6846,0
6847,0.366
6848,0.006
6849,0.01
6850,0.06
