"UniqueID","Probability1"
6533,0.088
6534,0.136
6535,0.994
6536,0.308
6537,0.142
6538,0.86
6539,0.894
6540,0
6541,0.018
6542,0.01
6543,0
6544,0.804
6545,0
6546,0
6547,0
6548,0.958
6549,0.968
6550,0.334
6551,0.152
6552,0.002
6553,0.002
6554,0.052
6555,0.966
6556,0
6557,0
6558,0.25
6559,0
6560,0.982
6561,0.772
6562,0
6563,0
6564,0
6565,0
6566,0.014
6567,0.288
6568,0.984
6569,0.946
6570,0
6571,0.016
6572,0.672
6573,0.992
6574,0.982
6575,0.012
6576,0.832
6577,0
6578,0.002
6579,0.038
6580,0
6581,0.936
6582,0.004
6583,0
6584,0.118
6585,0
6586,0.006
6587,0.204
6588,0
6589,0
6590,0.188
6591,0.944
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.05
6598,0
6599,0
6600,0.712
6601,0.08
6602,0
6603,0
6604,0.054
6605,0.086
6606,0.974
6607,0.006
6608,0.984
6609,0.618
6610,0
6611,0
6612,0.244
6613,0
6614,0.026
6615,0
6616,0.04
6617,0.014
6618,0.098
6619,0.054
6620,0
6621,0.002
6622,0.008
6623,0
6624,0
6625,0.004
6626,0
6627,0
6628,0
6629,0.014
6630,0
6631,0.046
6632,0.128
6633,0.954
6634,0.056
6635,0.438
6636,0.204
6637,0.286
6638,0.232
6639,0.222
6640,0.114
6641,0.252
6642,0.122
6643,0.244
6644,0.26
6645,0.042
6646,0.16
6647,0.002
6648,0.002
6649,0.184
6650,0.982
6651,0
6652,0.01
6653,0.016
6654,0.01
6655,0.104
6656,0.098
6657,0.002
6658,0
6659,0
6660,0.534
6661,0
6662,0
6663,0.008
6664,0.288
6665,0.004
6666,0
6667,0.02
6668,0.032
6669,0.01
6670,0.814
6671,0.81
6672,0
6673,0.044
6674,0.054
6675,0.01
6676,0
6677,0
6678,0.006
6679,0
6680,0.848
6681,0
6682,0
6683,0.014
6684,0.292
6685,0
6686,0
6687,0.02
6688,0.962
6689,0
6690,0
6691,0.17
6692,0.224
6693,0
6694,0.982
6695,0.084
6696,0
6697,0.714
6698,0.004
6699,0.21
6700,0
6701,0.638
6702,0
6703,0.134
6704,0.02
6705,0.026
6706,0
6707,0.034
6708,0.006
6709,0
6710,0
6711,0.004
6712,0
6713,0
6714,0.012
6715,0
6716,0
6717,0
6718,0.194
6719,0.014
6720,0.808
6721,0
6722,0.004
6723,0.996
6724,0.08
6725,0.722
6726,0.004
6727,0.26
6728,0.892
6729,0
6730,0
6731,0.192
6732,0
6733,0
6734,0.008
6735,0.006
6736,0
6737,0
6738,0.104
6739,0.24
6740,0
6741,0.188
6742,0
6743,0
6744,0.012
6745,0.198
6746,0
6747,0
6748,0.092
6749,0.006
6750,0.978
6751,0
6752,0.106
6753,0.542
6754,0.012
6755,0
6756,0
6757,0.442
6758,0.256
6759,0.002
6760,0.014
6761,0.006
6762,0
6763,0
6764,0.91
6765,0.004
6766,0.002
6767,0
6768,0.004
6769,0.068
6770,0.078
6771,0
6772,0.038
6773,0
6774,0
6775,0.784
6776,0.002
6777,0
6778,0
6779,0.08
6780,0.994
6781,0.126
6782,0.014
6783,0.094
6784,0.002
6785,0.076
6786,0.028
6787,0.954
6788,0.192
6789,0.004
6790,0.014
6791,0
6792,0
6793,0.176
6794,0
6795,0.012
6796,0.002
6797,0
6798,0.002
6799,0.014
