"UniqueID","Probability1"
6533,0.106
6534,0.142
6535,0.988
6536,0.302
6537,0.254
6538,0.814
6539,0.86
6540,0.042
6541,0.05
6542,0.04
6543,0.008
6544,0.734
6545,0.018
6546,0.004
6547,0.004
6548,0.826
6549,0.826
6550,0.344
6551,0.29
6552,0.096
6553,0.14
6554,0.09
6555,0.752
6556,0.008
6557,0.004
6558,0.16
6559,0
6560,0.902
6561,0.508
6562,0.012
6563,0
6564,0.006
6565,0.004
6566,0.024
6567,0.158
6568,0.922
6569,0.878
6570,0.004
6571,0.048
6572,0.684
6573,0.856
6574,0.874
6575,0.032
6576,0.674
6577,0
6578,0
6579,0.026
6580,0
6581,0.772
6582,0.008
6583,0
6584,0.192
6585,0.02
6586,0.098
6587,0.2
6588,0.008
6589,0.008
6590,0.3
6591,0.592
6592,0.016
6593,0.01
6594,0.026
6595,0.02
6596,0.04
6597,0.046
6598,0.018
6599,0.058
6600,0.436
6601,0.178
6602,0.008
6603,0.028
6604,0.034
6605,0.322
6606,0.876
6607,0.028
6608,0.818
6609,0.662
6610,0.016
6611,0.024
6612,0.11
6613,0.008
6614,0.056
6615,0.004
6616,0.182
6617,0.144
6618,0.116
6619,0.31
6620,0.004
6621,0.042
6622,0.064
6623,0.014
6624,0.02
6625,0.118
6626,0.006
6627,0.06
6628,0.04
6629,0.07
6630,0.024
6631,0.128
6632,0.248
6633,0.794
6634,0.082
6635,0.446
6636,0.368
6637,0.36
6638,0.354
6639,0.29
6640,0.294
6641,0.354
6642,0.306
6643,0.524
6644,0.248
6645,0.138
6646,0.274
6647,0.066
6648,0.116
6649,0.442
6650,0.812
6651,0.004
6652,0.01
6653,0.03
6654,0.01
6655,0.232
6656,0.054
6657,0.012
6658,0.028
6659,0.004
6660,0.292
6661,0.004
6662,0.004
6663,0.012
6664,0.264
6665,0.02
6666,0
6667,0.024
6668,0.028
6669,0.002
6670,0.812
6671,0.712
6672,0.006
6673,0.302
6674,0.022
6675,0.022
6676,0.008
6677,0.004
6678,0.104
6679,0
6680,0.758
6681,0.034
6682,0.006
6683,0.046
6684,0.412
6685,0.014
6686,0.03
6687,0.054
6688,0.884
6689,0.01
6690,0.018
6691,0.224
6692,0.306
6693,0.036
6694,0.836
6695,0.054
6696,0
6697,0.674
6698,0
6699,0.104
6700,0.002
6701,0.464
6702,0.044
6703,0.038
6704,0.1
6705,0.042
6706,0
6707,0.146
6708,0.01
6709,0.014
6710,0.03
6711,0.052
6712,0.006
6713,0.012
6714,0.068
6715,0.016
6716,0
6717,0.004
6718,0.19
6719,0.052
6720,0.748
6721,0.002
6722,0.026
6723,0.976
6724,0.182
6725,0.408
6726,0.074
6727,0.17
6728,0.75
6729,0.002
6730,0.002
6731,0.158
6732,0.004
6733,0.044
6734,0.01
6735,0.054
6736,0.006
6737,0.002
6738,0.156
6739,0.302
6740,0.034
6741,0.14
6742,0.002
6743,0.002
6744,0.068
6745,0.208
6746,0.002
6747,0.014
6748,0.054
6749,0.056
6750,0.824
6751,0.002
6752,0.126
